"Megye kód";"KSH kód";Megye;Település;"Település típusa";"Állandó férfi lakosság összesen";"Állandó női lakosság összesen"
2;13329;BAR;Almamellék;község;220;227
2;20376;BAR;Almáskeresztúr;község;44;40
2;17385;BAR;Alsómocsolád;község;149;158
2;33279;BAR;Alsószentmárton;község;650;588
2;27298;BAR;Apátvarasd;község;60;60
2;06886;BAR;Aranyosgadány;község;202;185
2;28583;BAR;Áta;község;90;98
2;05403;BAR;Babarc;község;356;391
2;09663;BAR;Babarcszőlős;község;61;57
2;22275;BAR;Bakóca;község;147;148
2;08299;BAR;Bakonya;község;189;201
2;03975;BAR;Baksa;község;391;401
2;07603;BAR;Bánfa;község;97;102
2;24378;BAR;Bár;község;300;286
2;20464;BAR;Baranyahídvég;község;108;86
2;24749;BAR;Baranyajenő;község;236;245
2;05485;BAR;Baranyaszentgyörgy;község;64;61
2;15495;BAR;Basal;község;107;109
2;19008;BAR;Belvárdgyula;község;204;205
2;16461;BAR;Berkesd;község;433;417
2;30049;BAR;Besence;község;67;51
2;14119;BAR;Bezedek;község;100;113
2;13310;BAR;Bicsérd;község;536;543
2;04899;BAR;Bikal;község;350;361
2;05139;BAR;Birján;község;279;279
2;24925;BAR;Bisse;község;121;112
2;20899;BAR;Boda;község;225;208
2;33002;BAR;Bodolyabér;község;133;121
2;32151;BAR;Bogád;község;573;576
2;21892;BAR;Bogádmindszent;község;229;212
2;10694;BAR;Bogdása;község;127;132
2;13116;BAR;Boldogasszonyfa;község;235;208
2;06725;BAR;Borjád;község;227;212
2;14368;BAR;Bosta;község;75;79
2;13365;BAR;Botykapeterd;község;181;169
2;23162;BAR;Bükkösd;község;580;548
2;07533;BAR;Bürüs;község;33;41
2;19901;BAR;Csányoszró;község;322;309
2;30614;BAR;Csarnóta;község;65;68
2;21591;BAR;Csebény;község;56;49
2;26082;BAR;Cserdi;község;205;196
2;03896;BAR;Cserkút;község;340;330
2;13851;BAR;Csertő;község;206;223
2;22576;BAR;Csonkamindszent;község;96;89
2;11086;BAR;Cún;község;117;99
2;07773;BAR;Dencsháza;község;301;283
2;11952;BAR;Dinnyeberki;község;39;38
2;32373;BAR;Diósviszló;község;354;363
2;28617;BAR;Drávacsehi;község;85;80
2;28121;BAR;Drávacsepely;község;114;100
2;17419;BAR;Drávafok;község;281;264
2;32391;BAR;Drávaiványi;község;97;93
2;09159;BAR;Drávakeresztúr;község;66;57
2;22734;BAR;Drávapalkonya;község;146;131
2;12380;BAR;Drávapiski;község;56;47
2;28608;BAR;Drávaszabolcs;község;364;339
2;30030;BAR;Drávaszerdahely;község;91;90
2;21698;BAR;Drávasztára;község;190;185
2;09186;BAR;Dunaszekcső;község;943;963
2;28918;BAR;Egerág;község;481;516
2;16498;BAR;Egyházasharaszti;község;160;176
2;27401;BAR;Egyházaskozár;község;341;407
2;06099;BAR;Ellend;község;116;124
2;28273;BAR;Endrőc;község;179;161
2;25821;BAR;Erdősmárok;község;55;42
2;18704;BAR;Erdősmecske;község;172;175
2;13499;BAR;Erzsébet;község;148;150
2;17835;BAR;Fazekasboda;község;103;102
2;04543;BAR;Feked;község;119;109
2;13286;BAR;Felsőegerszeg;község;63;65
2;08819;BAR;Felsőszentmárton;község;417;438
2;07560;BAR;Garé;község;143;140
2;12751;BAR;Gerde;község;275;289
2;13347;BAR;Gerényes;község;120;123
2;02857;BAR;Geresdlak;község;397;399
2;18333;BAR;Gilvánfa;község;198;178
2;33084;BAR;Gordisa;község;160;158
2;33233;BAR;Gödre;község;405;399
2;30438;BAR;Görcsöny;község;764;854
2;09636;BAR;Görcsönydoboka;község;184;190
2;18315;BAR;Gyód;község;385;381
2;28404;BAR;Gyöngyfa;község;78;70
2;22664;BAR;Gyöngyösmellék;község;155;137
2;27881;BAR;Hásságy;község;157;170
2;30951;BAR;Hegyhátmaróc;község;80;75
2;21023;BAR;Hegyszentmárton;község;204;207
2;17190;BAR;Helesfa;község;243;237
2;07126;BAR;Hetvehely;község;237;241
2;06798;BAR;Hidas;község;1 021;1 045
2;27933;BAR;Himesháza;község;488;548
2;03285;BAR;Hirics;község;137;122
2;33932;BAR;Hobol;község;478;512
2;29966;BAR;Homorúd;község;297;282
2;23074;BAR;Horváthertelend;község;31;30
2;30836;BAR;Hosszúhetény;község;1 774;1 749
2;31431;BAR;Husztót;község;31;30
2;33066;BAR;Ibafa;község;118;109
2;31936;BAR;Illocska;község;128;133
2;29948;BAR;Ipacsfa;község;101;116
2;03337;BAR;Ivánbattyán;község;52;58
2;03346;BAR;Ivándárda;község;107;113
2;04297;BAR;Kacsóta;község;135;143
2;06415;BAR;Kákics;község;98;102
2;05999;BAR;Kárász;község;152;169
2;17464;BAR;Kásád;község;144;149
2;06965;BAR;Katádfa;község;79;73
2;19132;BAR;Kátoly;község;142;149
2;16805;BAR;Kékesd;község;98;87
2;10542;BAR;Kémes;község;239;234
2;06789;BAR;Kemse;község;32;26
2;03832;BAR;Keszü;község;728;702
2;08572;BAR;Kétújfalu;község;329;350
2;20552;BAR;Királyegyháza;község;484;457
2;18908;BAR;Kisasszonyfa;község;100;103
2;05722;BAR;Kisbeszterce;község;43;36
2;22868;BAR;Kisbudmér;község;57;44
2;11183;BAR;Kisdér;község;61;63
2;33905;BAR;Kisdobsza;község;133;125
2;06831;BAR;Kishajmás;község;116;105
2;27021;BAR;Kisharsány;község;238;236
2;16975;BAR;Kisherend;község;112;100
2;12849;BAR;Kisjakabfalva;község;70;48
2;19910;BAR;Kiskassa;község;125;120
2;21616;BAR;Kislippó;község;158;138
2;33215;BAR;Kisnyárád;község;103;80
2;08651;BAR;Kisszentmárton;község;136;128
2;12353;BAR;Kistamási;község;65;74
2;03151;BAR;Kistapolca;község;101;102
2;10746;BAR;Kistótfalu;község;161;156
2;09548;BAR;Kisvaszar;község;174;156
2;08110;BAR;Kórós;község;109;101
2;24226;BAR;Kovácshida;község;131;126
2;14517;BAR;Kovácsszénája;község;47;29
2;25247;BAR;Köblény;község;114;112
2;03540;BAR;Kökény;község;334;344
2;17899;BAR;Kölked;község;499;520
2;15538;BAR;Kővágószőlős;község;678;716
2;06992;BAR;Kővágótöttös;község;164;190
2;33330;BAR;Lánycsók;község;1 232;1 261
2;06479;BAR;Lapáncsa;község;88;77
2;17604;BAR;Liget;község;206;195
2;22974;BAR;Lippó;község;253;258
2;10038;BAR;Liptód;község;99;104
2;31389;BAR;Lothárd;község;129;132
2;24624;BAR;Lovászhetény;község;160;156
2;18865;BAR;Lúzsok;község;117;111
2;25177;BAR;Magyarbóly;község;454;492
2;29753;BAR;Magyaregregy;község;340;394
2;05430;BAR;Magyarhertelend;község;319;312
2;23542;BAR;Magyarlukafa;község;55;53
2;05412;BAR;Magyarmecske;község;157;167
2;27067;BAR;Magyarsarlós;község;144;142
2;22600;BAR;Magyarszék;község;550;527
2;04385;BAR;Magyartelek;község;100;105
2;27863;BAR;Majs;község;451;491
2;33923;BAR;Mánfa;község;437;391
2;29920;BAR;Maráza;község;94;107
2;09450;BAR;Márfa;község;99;94
2;14483;BAR;Máriakéménd;község;258;253
2;16443;BAR;Markóc;község;29;31
2;15219;BAR;Marócsa;község;37;40
2;20659;BAR;Márok;község;198;233
2;02228;BAR;Martonfa;község;116;125
2;15051;BAR;Matty;község;149;166
2;33756;BAR;Máza;község;596;638
2;13444;BAR;Mecseknádasd;község;757;841
2;11402;BAR;Mecsekpölöske;község;201;201
2;30492;BAR;Mekényes;község;135;136
2;07737;BAR;Merenye;község;135;127
2;03470;BAR;Meződ;község;69;60
2;16285;BAR;Mindszentgodisa;község;413;417
2;29522;BAR;Molvány;község;92;89
2;16027;BAR;Monyoród;község;106;94
2;29540;BAR;Mozsgó;község;474;466
2;03984;BAR;Nagybudmér;község;78;92
2;18111;BAR;Nagycsány;község;68;67
2;33899;BAR;Nagydobsza;község;281;289
2;12858;BAR;Nagyhajmás;község;170;144
2;02653;BAR;Nagyharsány;község;701;743
2;10940;BAR;Nagykozár;község;1 033;1 077
2;14650;BAR;Nagynyárád;község;351;368
2;19877;BAR;Nagypall;község;171;200
2;27164;BAR;Nagypeterd;község;321;348
2;28927;BAR;Nagytótfalu;község;167;160
2;14191;BAR;Nagyváty;község;158;155
2;18236;BAR;Nemeske;község;109;118
2;26329;BAR;Nyugotszenterzsébet;község;123;123
2;12645;BAR;Óbánya;község;66;75
2;03780;BAR;Ócsárd;község;207;187
2;19646;BAR;Ófalu;község;184;188
2;20686;BAR;Okorág;község;82;73
2;08341;BAR;Okorvölgy;község;45;36
2;18555;BAR;Olasz;község;298;317
2;21704;BAR;Old;község;182;147
2;11730;BAR;Orfű;község;599;595
2;04482;BAR;Oroszló;község;151;151
2;18661;BAR;Ózdfalu;község;80;65
2;23764;BAR;Palé;község;52;48
2;07153;BAR;Palkonya;község;133;131
2;10135;BAR;Palotabozsok;község;431;435
2;07010;BAR;Páprád;község;76;87
2;17792;BAR;Patapoklosi;község;174;178
2;21519;BAR;Pécsbagota;község;62;39
2;15389;BAR;Pécsdevecser;község;44;61
2;21096;BAR;Pécsudvard;község;408;385
2;16115;BAR;Pellérd;község;1 235;1 202
2;12867;BAR;Pereked;község;88;80
2;32425;BAR;Peterd;község;117;105
2;29762;BAR;Pettend;község;86;90
2;23506;BAR;Piskó;község;142;112
2;22266;BAR;Pócsa;község;88;78
2;17242;BAR;Pogány;község;655;701
2;11518;BAR;Rádfalva;község;105;112
2;25292;BAR;Regenye;község;94;85
2;24855;BAR;Romonya;község;293;279
2;04516;BAR;Rózsafa;község;171;194
2;18050;BAR;Sámod;község;91;104
2;20862;BAR;Sárok;község;67;54
2;33482;BAR;Sátorhely;község;307;332
2;23205;BAR;Siklósbodony;község;76;74
2;08800;BAR;Siklósnagyfalu;község;219;223
2;23472;BAR;Somberek;község;695;762
2;23807;BAR;Somogyapáti;község;253;252
2;29142;BAR;Somogyhárságy;község;217;217
2;25070;BAR;Somogyhatvan;község;196;167
2;21281;BAR;Somogyviszló;község;118;122
2;31714;BAR;Sósvertike;község;88;74
2;02547;BAR;Sumony;község;230;229
2;15079;BAR;Szabadszentkirály;község;399;421
2;27508;BAR;Szágy;község;64;57
2;08475;BAR;Szajk;község;394;410
2;22257;BAR;Szalánta;község;577;627
2;09007;BAR;Szalatnak;község;149;167
2;34032;BAR;Szaporca;község;116;119
2;07366;BAR;Szárász;község;27;23
2;31060;BAR;Szava;község;170;177
2;03018;BAR;Szebény;község;177;174
2;05607;BAR;Szederkény;község;822;952
2;16771;BAR;Székelyszabar;község;294;288
2;16984;BAR;Szellő;község;73;77
2;09308;BAR;Szemely;község;234;247
2;32009;BAR;Szentdénes;község;165;169
2;33613;BAR;Szentegát;község;171;186
2;09803;BAR;Szentkatalin;község;58;52
2;16355;BAR;Szentlászló;község;392;417
2;19831;BAR;Szilágy;község;154;146
2;24712;BAR;Szilvás;község;65;78
2;22211;BAR;Szőke;község;73;61
2;07694;BAR;Szőkéd;község;179;195
2;05528;BAR;Szörény;község;42;42
2;15404;BAR;Szulimán;község;130;129
2;11217;BAR;Szűr;község;127;129
2;15635;BAR;Tarrós;község;53;62
2;27702;BAR;Tékes;község;125;120
2;32072;BAR;Teklafalu;község;166;185
2;13675;BAR;Tengeri;község;28;29
2;32744;BAR;Tésenfa;község;101;99
2;20978;BAR;Téseny;község;163;152
2;04048;BAR;Tófű;község;71;67
2;22424;BAR;Tormás;község;156;117
2;26994;BAR;Tótszentgyörgy;község;79;62
2;04136;BAR;Töttös;község;280;275
2;18582;BAR;Túrony;község;145;131
2;04437;BAR;Udvar;község;64;72
2;06062;BAR;Újpetre;község;524;514
2;08138;BAR;Várad;község;71;61
2;28529;BAR;Varga;község;45;42
2;24952;BAR;Vásárosbéc;község;130;102
2;02264;BAR;Vásárosdombó;község;537;561
2;07074;BAR;Vázsnok;község;68;62
2;18519;BAR;Vejti;község;80;70
2;24402;BAR;Vékény;község;86;65
2;22071;BAR;Velény;község;71;72
2;20279;BAR;Véménd;község;695;686
2;19725;BAR;Versend;község;465;503
2;05209;BAR;Villánykövesd;község;116;124
2;05892;BAR;Vokány;község;432;454
2;17747;BAR;Zádor;község;162;156
2;25122;BAR;Zaláta;község;129;121
2;15848;BAR;Zengővárkony;község;215;221
2;12201;BAR;Zók;község;142;148
4;15200;BEK;Békéscsaba;megye székhely;27 143;30 702
4;18102;BEK;Battonya;város;2 934;3 034
4;09760;BEK;Békés;város;9 218;9 650
4;26709;BEK;Csorvás;város;2 258;2 485
4;24819;BEK;Dévaványa;város;3 613;3 632
4;32957;BEK;Elek;város;2 296;2 412
4;12256;BEK;Füzesgyarmat;város;2 667;2 744
4;33455;BEK;Gyomaendrőd;város;6 387;6 860
4;05032;BEK;Gyula;város;14 099;15 632
4;10287;BEK;Kondoros;város;2 290;2 473
4;11615;BEK;Körösladány;város;2 162;2 280
4;30128;BEK;Medgyesegyháza;város;1 666;1 780
4;19628;BEK;Mezőberény;város;4 806;5 226
4;11873;BEK;Mezőhegyes;város;2 341;2 514
4;30322;BEK;Mezőkovácsháza;város;2 698;2 940
4;23065;BEK;Orosháza;város;13 261;14 332
4;28565;BEK;Sarkad;város;4 814;5 092
4;23870;BEK;Szarvas;város;7 342;7 889
4;21883;BEK;Szeghalom;város;4 339;4 351
4;16434;BEK;Tótkomlós;város;2 757;3 008
4;02352;BEK;Újkígyós;város;2 464;2 551
4;29531;BEK;Vésztő;város;3 448;3 317
4;02680;BEK;Békésszentandrás;nagyközség;1 794;1 783
4;31334;BEK;Csabacsűd;nagyközség;830;867
4;33190;BEK;Doboz;nagyközség;2 032;2 181
4;24031;BEK;Dombegyház;nagyközség;980;1 003
4;09511;BEK;Gádoros;nagyközség;1 774;1 790
4;03461;BEK;Kétegyháza;nagyközség;1 701;1 881
4;31574;BEK;Kevermes;nagyközség;892;898
4;08244;BEK;Nagyszénás;nagyközség;2 328;2 416
4;29595;BEK;Almáskamarás;község;442;406
4;26189;BEK;Békéssámson;község;1 191;1 156
4;19390;BEK;Bélmegyer;község;452;420
4;29610;BEK;Biharugra;község;438;431
4;13471;BEK;Bucsa;község;1 139;1 142
4;34078;BEK;Csabaszabadi;község;150;123
4;20455;BEK;Csanádapáca;község;1 236;1 282
4;25502;BEK;Csárdaszállás;község;211;204
4;22132;BEK;Dombiratos;község;252;282
4;09432;BEK;Ecsegfalva;község;603;586
4;07393;BEK;Gerendás;község;557;602
4;17394;BEK;Geszt;község;371;378
4;33297;BEK;Hunya;község;293;314
4;04279;BEK;Kamut;község;498;531
4;24794;BEK;Kardos;község;284;252
4;12177;BEK;Kardoskút;község;397;411
4;22752;BEK;Kaszaper;község;873;895
4;12618;BEK;Kertészsziget;község;193;168
4;03106;BEK;Kétsoprony;község;694;648
4;18838;BEK;Kisdombegyház;község;245;230
4;10764;BEK;Körösnagyharsány;község;271;275
4;12900;BEK;Köröstarcsa;község;1 192;1 219
4;30164;BEK;Körösújfalu;község;229;236
4;06804;BEK;Kötegyán;község;695;680
4;16045;BEK;Kunágota;község;1 316;1 324
4;21209;BEK;Lőkösháza;község;853;860
4;27906;BEK;Magyarbánhegyes;község;1 048;1 046
4;11536;BEK;Magyardombegyház;község;111;105
4;20765;BEK;Medgyesbodzás;község;497;449
4;23931;BEK;Méhkerék;község;1 038;1 038
4;04206;BEK;Mezőgyán;község;487;501
4;11989;BEK;Murony;község;589;604
4;26028;BEK;Nagybánhegyes;község;598;630
4;04242;BEK;Nagykamarás;község;583;636
4;19257;BEK;Okány;község;1 178;1 204
4;27438;BEK;Örménykút;község;166;160
4;05397;BEK;Pusztaföldvár;község;795;808
4;19594;BEK;Pusztaottlaka;község;172;167
4;25168;BEK;Sarkadkeresztúr;község;718;747
4;31325;BEK;Szabadkígyós;község;1 265;1 293
4;33075;BEK;Tarhos;község;378;403
4;12681;BEK;Telekgerendás;község;737;763
4;24350;BEK;Újszalonta;község;57;44
4;31228;BEK;Végegyháza;község;633;630
4;06257;BEK;Zsadány;község;844;750
5;30456;BOR;Miskolc;megye székhely;71 442;81 251
5;03595;BOR;Abaújszántó;város;1 434;1 451
5;21032;BOR;Alsózsolca;város;2 886;2 868
5;05315;BOR;Borsodnádasd;város;1 493;1 539
5;03939;BOR;Cigánd;város;1 590;1 575
5;10728;BOR;Edelény;város;4 713;5 017
5;04677;BOR;Emőd;város;2 546;2 542
5;33048;BOR;Encs;város;3 007;3 327
5;02848;BOR;Felsőzsolca;város;3 329;3 474
5;15936;BOR;Gönc;város;976;992
5;06691;BOR;Kazincbarcika;város;12 307;13 614
5;13833;BOR;Mezőcsát;város;2 950;2 962
5;11323;BOR;Mezőkeresztes;város;1 788;1 885
5;19433;BOR;Mezőkövesd;város;7 823;8 429
5;12885;BOR;Nyékládháza;város;2 495;2 685
5;22558;BOR;Onga;város;2 459;2 510
5;14492;BOR;Ózd;város;16 154;17 454
5;12362;BOR;Pálháza;város;518;573
5;27410;BOR;Putnok;város;3 336;3 495
5;23029;BOR;Rudabánya;város;1 226;1 259
5;03504;BOR;Sajóbábony;város;1 307;1 342
5;16054;BOR;Sajószentpéter;város;5 860;6 151
5;27474;BOR;Sárospatak;város;5 662;6 055
5;05120;BOR;Sátoraljaújhely;város;6 733;7 485
5;08077;BOR;Szendrő;város;2 004;2 105
5;30739;BOR;Szerencs;város;4 177;4 729
5;21351;BOR;Szikszó;város;2 658;2 911
5;28352;BOR;Tiszaújváros;város;7 150;8 097
5;18306;BOR;Tokaj;város;1 754;2 017
5;14331;BOR;Arló;nagyközség;1 890;1 894
5;05591;BOR;Izsófalva;nagyközség;877;844
5;21546;BOR;Múcsony;nagyközség;1 418;1 443
5;19220;BOR;Ricse;nagyközség;875;957
5;22169;BOR;Szentistván;nagyközség;1 182;1 247
5;09496;BOR;Szirmabesenyő;nagyközség;2 172;2 232
5;18245;BOR;Taktaharkány;nagyközség;1 776;1 829
5;28398;BOR;Tiszalúc;nagyközség;2 475;2 528
5;15662;BOR;Abaújalpár;község;34;35
5;26718;BOR;Abaújkér;község;283;321
5;02820;BOR;Abaújlak;község;45;43
5;26338;BOR;Abaújszolnok;község;119;98
5;02273;BOR;Abaújvár;község;127;127
5;10357;BOR;Abod;község;79;85
5;09362;BOR;Aggtelek;község;262;269
5;33093;BOR;Alacska;község;351;392
5;20482;BOR;Alsóberecki;község;377;370
5;19664;BOR;Alsódobsza;község;149;134
5;14429;BOR;Alsógagy;község;37;49
5;23223;BOR;Alsóregmec;község;94;98
5;28839;BOR;Alsószuha;község;215;237
5;08217;BOR;Alsótelekes;község;77;76
5;29814;BOR;Alsóvadász;község;789;802
5;26198;BOR;Arka;község;37;35
5;03771;BOR;Arnót;község;1 204;1 236
5;03823;BOR;Ároktő;község;546;595
5;04233;BOR;Aszaló;község;891;955
5;18184;BOR;Baktakék;község;397;416
5;22521;BOR;Balajt;község;266;263
5;25159;BOR;Bánhorváti;község;655;691
5;21953;BOR;Bánréve;község;586;635
5;08846;BOR;Baskó;község;90;104
5;27049;BOR;Becskeháza;község;18;19
5;06929;BOR;Bekecs;község;1 221;1 254
5;34290;BOR;Berente;község;512;574
5;29674;BOR;Beret;község;166;146
5;26356;BOR;Berzék;község;499;516
5;23737;BOR;Bodroghalom;község;633;655
5;30784;BOR;Bodrogkeresztúr;község;465;492
5;33808;BOR;Bodrogkisfalud;község;417;439
5;14401;BOR;Bodrogolaszi;község;432;456
5;27429;BOR;Bódvalenke;község;172;162
5;33303;BOR;Bódvarákó;község;47;39
